tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(632, 323)	(70, 46)
toggle button	Mode selection	Mode selection			(708, 323)	(103, 46)
toggle button	Primary menu	Primary menu			(817, 323)	(36, 46)
combo box	Decimal	Decimal			(638, 558)	(126, 34)
label	5₈ = 5₁₆	5₈ = 5₁₆			(881, 558)	(51, 34)
toggle button					(932, 558)	(42, 34)
label	15	15			(649, 675)	(38, 24)
label	47	47			(649, 627)	(38, 24)
push button	1	1		0	(912, 675)	(13, 24)
push button	0	0		1	(899, 675)	(13, 24)
push button	1	1		2	(886, 675)	(13, 24)
push button	0	0		3	(873, 675)	(13, 24)
push button	0	0		4	(850, 675)	(13, 24)
push button	0	0		5	(837, 675)	(13, 24)
push button	0	0		6	(824, 675)	(13, 24)
push button	0	0		7	(811, 675)	(13, 24)
push button	0	0		8	(788, 675)	(13, 24)
push button	0	0		9	(775, 675)	(13, 24)
push button	0	0		10	(762, 675)	(13, 24)
push button	0	0		11	(749, 675)	(13, 24)
push button	0	0		12	(726, 675)	(13, 24)
push button	0	0		13	(713, 675)	(13, 24)
push button	0	0		14	(700, 675)	(13, 24)
push button	0	0		15	(687, 675)	(13, 24)
push button	0	0		16	(912, 651)	(13, 24)
push button	0	0		17	(899, 651)	(13, 24)
push button	0	0		18	(886, 651)	(13, 24)
push button	0	0		19	(873, 651)	(13, 24)
push button	0	0		20	(850, 651)	(13, 24)
push button	0	0		21	(837, 651)	(13, 24)
push button	0	0		22	(824, 651)	(13, 24)
push button	0	0		23	(811, 651)	(13, 24)
push button	0	0		24	(788, 651)	(13, 24)
push button	0	0		25	(775, 651)	(13, 24)
push button	0	0		26	(762, 651)	(13, 24)
push button	0	0		27	(749, 651)	(13, 24)
push button	0	0		28	(726, 651)	(13, 24)
push button	0	0		29	(713, 651)	(13, 24)
push button	0	0		30	(700, 651)	(13, 24)
push button	0	0		31	(687, 651)	(13, 24)
label	 0	 0			(925, 675)	(34, 24)
label	16	16			(925, 651)	(38, 24)
label	32	32			(925, 627)	(38, 24)
label	48	48			(925, 603)	(38, 24)
label	31	31			(649, 651)	(38, 24)
label	63	63			(649, 603)	(38, 24)
push button	0	0		47	(687, 627)	(13, 24)
push button	0	0		46	(700, 627)	(13, 24)
push button	0	0		45	(713, 627)	(13, 24)
push button	0	0		44	(726, 627)	(13, 24)
push button	0	0		43	(749, 627)	(13, 24)
push button	0	0		42	(762, 627)	(13, 24)
push button	0	0		41	(775, 627)	(13, 24)
push button	0	0		40	(788, 627)	(13, 24)
push button	0	0		39	(811, 627)	(13, 24)
push button	0	0		38	(824, 627)	(13, 24)
push button	0	0		37	(837, 627)	(13, 24)
push button	0	0		36	(850, 627)	(13, 24)
push button	0	0		35	(873, 627)	(13, 24)
push button	0	0		34	(886, 627)	(13, 24)
push button	0	0		33	(899, 627)	(13, 24)
push button	0	0		32	(912, 627)	(13, 24)
push button	0	0		48	(912, 603)	(13, 24)
push button	0	0		49	(899, 603)	(13, 24)
push button	0	0		50	(886, 603)	(13, 24)
push button	0	0		51	(873, 603)	(13, 24)
push button	0	0		52	(850, 603)	(13, 24)
push button	0	0		53	(837, 603)	(13, 24)
push button	0	0		54	(824, 603)	(13, 24)
push button	0	0		55	(811, 603)	(13, 24)
push button	0	0		56	(788, 603)	(13, 24)
push button	0	0		57	(775, 603)	(13, 24)
push button	0	0		58	(762, 603)	(13, 24)
push button	0	0		59	(749, 603)	(13, 24)
push button	0	0		60	(726, 603)	(13, 24)
push button	0	0		61	(713, 603)	(13, 24)
push button	0	0		62	(700, 603)	(13, 24)
push button	0	0		63	(687, 603)	(13, 24)
push button	)	)		End Group [)]	(774, 716)	(64, 44)
push button	(	(		Start Group [(]	(706, 716)	(64, 44)
push button	mod	mod		Modulus divide	(842, 716)	(64, 44)
push button	,	,			(910, 812)	(64, 44)
push button	F	F			(791, 764)	(47, 44)
push button	E	E			(740, 764)	(47, 44)
push button	D	D			(689, 764)	(47, 44)
push button	C	C			(638, 764)	(47, 44)
push button	B	B			(791, 812)	(47, 44)
push button	A	A			(740, 812)	(47, 44)
push button	9	9			(689, 812)	(47, 44)
push button	8	8			(638, 812)	(47, 44)
push button	7	7			(791, 860)	(47, 44)
push button	6	6			(740, 860)	(47, 44)
push button	5	5			(689, 860)	(47, 44)
push button	4	4			(638, 860)	(47, 44)
push button	3	3			(791, 908)	(47, 44)
push button	2	2			(740, 908)	(47, 44)
push button	1	1			(689, 908)	(47, 44)
push button	0	0			(638, 908)	(47, 44)
push button				Clear Display [Escape]	(638, 716)	(64, 44)
push button	=	=		Calculate Result	(910, 860)	(64, 92)
push button	+	+		Add [+]	(842, 908)	(64, 44)
push button	−	−		Subtract [-]	(842, 860)	(64, 44)
push button	×	×		Multiply [*]	(842, 812)	(64, 44)
push button	÷	÷		Divide [/]	(842, 764)	(64, 44)
push button	π	π		Pi [Ctrl+P]	(910, 716)	(64, 44)
push button	√	√		Root [Ctrl+R]	(910, 764)	(64, 44)
label	8	8		8	(875, 424)	(92, 22)
label	=	=			(829, 424)	(46, 22)
label	3+5	3+5		3+5	(641, 424)	(188, 22)
label	5	5		5	(875, 459)	(92, 22)
label	=	=			(829, 459)	(46, 22)
label	2+3	2+3		2+3	(641, 459)	(188, 22)
text					(626, 530)	(360, 21)
