tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(632, 323)	(70, 46)
toggle button	Mode selection	Mode selection			(728, 323)	(83, 46)
toggle button	Primary menu	Primary menu			(817, 323)	(36, 46)
push button	=	=		Calculate Result	(910, 708)	(64, 92)
push button	%	%		Percentage [%]	(774, 756)	(64, 44)
push button	)	)		End Group [)]	(774, 564)	(64, 44)
push button	(	(		Start Group [(]	(706, 564)	(64, 44)
push button				Clear Display [Escape]	(638, 564)	(64, 44)
push button	Exponent	Exponent		Square [Ctrl+2]	(910, 660)	(64, 44)
push button	√	√		Root [Ctrl+R]	(910, 612)	(64, 44)
push button	π	π		Pi [Ctrl+P]	(910, 564)	(64, 44)
push button	+	+		Add [+]	(842, 756)	(64, 44)
push button	−	−		Subtract [-]	(842, 708)	(64, 44)
push button	×	×		Multiply [*]	(842, 660)	(64, 44)
push button	3	3			(774, 708)	(64, 44)
push button	,	,			(706, 756)	(64, 44)
push button	0	0			(638, 756)	(64, 44)
push button	2	2			(706, 708)	(64, 44)
push button	1	1			(638, 708)	(64, 44)
push button	÷	÷		Divide [/]	(842, 612)	(64, 44)
push button	mod	mod		Modulus divide	(842, 564)	(64, 44)
push button	6	6			(774, 660)	(64, 44)
push button	5	5			(706, 660)	(64, 44)
push button	9	9			(774, 612)	(64, 44)
push button	8	8			(706, 612)	(64, 44)
push button	7	7			(638, 612)	(64, 44)
push button	4	4			(638, 660)	(64, 44)
label	8	8		8	(875, 424)	(92, 22)
label	=	=			(829, 424)	(46, 22)
label	3+5	3+5		3+5	(641, 424)	(188, 22)
label	5	5		5	(875, 459)	(92, 22)
label	=	=			(829, 459)	(46, 22)
label	2+3	2+3		2+3	(641, 459)	(188, 22)
text					(626, 530)	(360, 21)
radio button	Basic	Basic			(704, 394)	(130, 26)
radio button	Advanced	Advanced			(704, 420)	(130, 26)
radio button	Financial	Financial			(704, 446)	(130, 26)
radio button	Programming	Programming			(704, 472)	(130, 26)
radio button	Keyboard	Keyboard			(704, 498)	(130, 26)
